Company Name,Symbol,% Funding provided under Pay Later (MTF)
"BAJAJ FINSERV LTD.","BAJAJFINSV","70"
"BAJAJ HEALTHCARE LIMITED","BAJAJHCARE","50"
"BAJAJ HOUSING FINANCE LTD","BAJAJHFL","65"
"BAJAJ HOLDINGS & INVS LTD","BAJAJHLDNG","65"
"BAJAJ FINANCE LIMITED","BAJFINANCE","70"
"BALAJI AMINES LIMITED","BALAMINES","45"
"BALKRISHNA IND. LTD","BALKRISIND","70"
"BALMER LAWRIE & CO LTD","BALMLAWRIE","55"
"BALRAMPUR CHINI MILLS LTD","BALRAMCHIN","65"
"BANCO PRODUCTS (I) LTD","BANCOINDIA","50"
"BANDHAN BANK LIMITED","BANDHANBNK","60"
"BANK OF BARODA","BANKBARODA","65"
"NIP IND ETF BANK BEES","BANKBEES","70"
"ICICIPRAMC - IPRU5008","BANKIETF","70"
"BANK OF INDIA","BANKINDIA","60"
"KOTAKMAMC-KOTAKBKETF","BANKNIFTY1","65"
"BASF INDIA LTD","BASF","50"
"BATA INDIA LTD","BATAINDIA","70"
"BAYER CROPSCIENCE LTD","BAYERCROP","60"
"BHARAT BIJLEE LTD","BBL","50"
"BOMBAY BURMAH TRADING COR","BBTC","55"
"BHARAT DYNAMICS LIMITED","BDL","50"
"MRS BECTORS FOOD SPE LTD","BECTORFOOD","60"
"BHARAT ELECTRONICS LTD","BEL","65"
"BELRISE INDUSTRIES LTD","BELRISE","60"
"BEML LIMITED","BEML","55"
"BHANSALI ENG. POLYMERS LT","BEPL","55"
"BERGER PAINTS (I) LTD","BERGEPAINT","70"
"MIRAEAMC - MAFSETF","BFSI","70"
"BF UTILITIES LIMITED","BFUTILITIE","40"
"BHAGIRADHA CHEM & INDS L","BHAGCHEM","40"
"BHARAT FORGE LTD","BHARATFORG","65"
"BHARAT RASAYAN LTD","BHARATRAS","50"
"BHARTI AIRTEL LIMITED","BHARTIARTL","70"
"BHARTI HEXACOM LIMITED","BHARTIHEXA","65"
"BHEL","BHEL","60"
"BIKAJI FOODS INTERN LTD","BIKAJI","60"
"BIOCON LIMITED.","BIOCON","65"
"BIRLA CORPORATION LTD","BIRLACORPN","45"
"BIRLANU LIMITED","BIRLANU","55"
"BLACKBUCK LIMITED","BLACKBUCK","50"
"BLISS GVS PHARMA LTD","BLISSGVS","50"
"BLS INTL SERVS LTD","BLS","55"
"BLUE DART EXPRESS LTD","BLUEDART","60"
"BLUE STAR LIMITED","BLUESTARCO","65"
"BODAL CHEMICALS LTD","BODALCHEM","55"
"BOMBAY DYEING & MFG. CO L","BOMDYEING","55"
"BOROSIL LIMITED","BOROLTD","55"
"BOROSIL RENEWABLES LTD","BORORENEW","60"
"BOSCH LIMITED","BOSCHLTD","70"
"BHARAT PETROLEUM CORP  LT","BPCL","65"
