Company Name,Symbol,% Funding provided under Pay Later (MTF)
"IRCON INTERNATIONAL LTD","IRCON","50"
"INDIAN RAIL TOUR CORP LTD","IRCTC","65"
"INDIAN RENEWABLE ENERGY","IREDA","60"
"INDIAN RAILWAY FIN CORP L","IRFC","55"
"ISGEC HEAVY ENG LTD","ISGEC","55"
"ITC LTD","ITC","70"
"ITC HOTELS LIMITED","ITCHOTELS","65"
"INDIA TOUR. DEV. CO. LTD.","ITDC","55"
"ICICIPRAMC - ICICITECH","ITIETF","60"
"LE TRAVENUES TECHNOLOGY L","IXIGO","60"
"J & K BANK LTD.","J&KBANK","60"
"JAI BALAJI INDUSTRIES LTD","JAIBALAJI","40"
"JAI CORP LIMITED","JAICORPLTD","50"
"JAMNA AUTO IND LTD","JAMNAAUTO","60"
"JASH ENGINEERING LIMITED","JASH","40"
"JAYANT AGRO ORGANICS LTD","JAYAGROGN","50"
"J B CHEMICALS AND PHARMA","JBCHEPHARM","65"
"JBM AUTO LIMITED","JBMA","50"
"JOHNSON CONTROLS HITACHI","JCHAC","55"
"JINDAL POLY FILMS LIMITED","JINDALPOLY","55"
"JINDAL SAW LIMITED","JINDALSAW","55"
"JINDAL STEEL LIMITED","JINDALSTEL","65"
"JINDAL DRILLING IND. LTD","JINDRILL","50"
"JINDAL WORLDWIDE LTD","JINDWORLD","50"
"JIO FIN SERVICES LTD","JIOFIN","65"
"JAIN IRRIGATION SYSTEMS","JISLJALEQS","60"
"JK CEMENT LIMITED","JKCEMENT","70"
"JKUMAR INFR.LTD.","JKIL","55"
"JK LAKSHMI CEMENT LTD","JKLAKSHMI","60"
"JK PAPER LIMITED","JKPAPER","60"
"JK TYRE & INDUSTRIES LTD","JKTYRE","60"
"JUPITER LIFE LINE HOSP L","JLHL","60"
"JM FINANCIAL LIMITED","JMFINANCIL","60"
"JANA SMALL FIN BANK LTD","JSFB","60"
"JINDAL STAINLESS LIMITED","JSL","60"
"JSW ENERGY LIMITED","JSWENERGY","55"
"JSW INFRASTRUCTURE LTD","JSWINFRA","60"
"JSW STEEL LIMITED","JSWSTEEL","70"
"JTL INDUSTRIES LIMITED","JTLIND","50"
"JUBILANT FOODWORKS LTD","JUBLFOOD","65"
"JUBILANT INGREVIA LIMITED","JUBLINGREA","60"
"JUBILANT PHARMOVA LTD","JUBLPHARMA","60"
"NIP IND ETF JUNIOR BEES","JUNIORBEES","75"
"JUNIPER HOTELS LIMITED","JUNIPER","55"
"JUSTDIAL LTD.","JUSTDIAL","60"
"JUPITER WAGONS LIMITED","JWL","50"
"JYOTHY LABS LIMITED","JYOTHYLAB","60"
"JYOTI CNC AUTOMATION LTD","JYOTICNC","40"
"JYOTI STRUCTURES LTD","JYOTISTRUC","50"
"KAJARIA CERAMICS LTD","KAJARIACER","65"
"SAI SILKS (KALAMANDIR) L","KALAMANDIR","55"
"KALYAN JEWELLERS IND LTD","KALYANKJIL","55"
"KANSAI NEROLAC PAINTS LTD","KANSAINER","65"
"KARUR VYSYA BANK LTD","KARURVYSYA","65"
"KAYNES TECHNOLOGY IND LTD","KAYNES","55"
"KCP LTD","KCP","55"
"KDDL LIMITED","KDDL","40"
"KEC INTL. LIMITED","KEC","60"
"KEI INDUSTRIES LTD.","KEI","60"
"KFIN TECHNOLOGIES LIMITED","KFINTECH","50"
"KRISHNA INST OF MED SCI L","KIMS","65"
"KIRI INDUSTRIES LIMITED","KIRIINDUS","50"
"KIRLOSKAR BROTHERS LTD","KIRLOSBROS","50"
"KIRLOSKAR OIL ENG LTD","KIRLOSENG","60"
"KIRLOSKAR INDUSTRIES LTD","KIRLOSIND","40"
"KIRLOSKAR PNEUMATIC COM L","KIRLPNU","60"
"KEWAL KIRAN CLOTHING LTD","KKCL","55"
"KNOWLEDGE MARINE & EN W L","KMEW","40"
"KNR CONSTRU LTD.","KNRCON","60"
"KOLTE PATIL DEV. LTD.","KOLTEPATIL","55"
"KOTAK MAHINDRA BANK LTD","KOTAKBANK","70"
"K.P. ENERGY LIMITED","KPEL","50"
"KPI GREEN ENERGY LIMITED","KPIGREEN","50"
"KALPATARU PROJECT INT LTD","KPIL","60"
"KPIT TECHNOLOGIES LIMITED","KPITTECH","60"
"KPR MILL LTD.","KPRMILL","60"
"KRBL LIMITED","KRBL","55"
"KRN HEAT EXCHANGE N REF L","KRN","50"
"KROSS LIMITED","KROSS","50"
"KRSNAA DIAGNOSTICS LTD","KRSNAA","55"
"KSB LIMITED","KSB","60"
"KAVERI SEED CO. LTD.","KSCL","60"
"KALYANI STEELS LIMITED","KSL","55"
"KARNATAKA BANK LIMITED","KTKBANK","65"
"DR. LAL PATH LABS LTD.","LALPATHLAB","70"
"LANDMARK CARS LIMITED","LANDMARK","40"
"LA OPALA RG LIMITED","LAOPALA","60"
"LATENT VIEW ANALYTICS LTD","LATENTVIEW","65"
"LAURUS LABS LIMITED","LAURUSLABS","65"
"LEMON TREE HOTELS LTD","LEMONTREE","60"
"LG BALAKRISHNAN & BROS","LGBBROSLTD","55"
"LIC HOUSING FINANCE LTD","LICHSGFIN","65"
"LIFE INSURA CORP OF INDIA","LICI","65"
"LINCOLN PHARMA LTD","LINCOLN","50"
"LINDE INDIA LIMITED","LINDEINDIA","60"
"MIRAEAMC - LIQUID","LIQUID","0"
"DSPAMC - LIQUIDADD","LIQUIDADD","0"
"NIP IND ETF LIQUID BEES","LIQUIDBEES","0"
"BFAM - LIQUIDBETF","LIQUIDBETF","0"
"ZERODHAAMC - LIQUIDCASE","LIQUIDCASE","0"
"DSP LIQUID ETF","LIQUIDETF","0"
"ICICIPRAMC - ICICILIQ","LIQUIDIETF","0"
"MIRAEAMC - LIQUIDPLUS","LIQUIDPLUS","0"
"SBIAMC - LIQUIDSBI","LIQUIDSBI","0"
"LLOYDS ENGG WORK LIMITED","LLOYDSENGG","40"
"LLOYDS ENTERPRISES LTD","LLOYDSENT","40"
"LLOYDS METALS N ENERGY L","LLOYDSME","65"
"LMW LIMITED","LMW","60"
"LODHA DEVELOPERS LIMITED","LODHA","60"
"ICICI PR NIF LW VL 30 ETF","LOWVOLIETF","70"
"LARSEN & TOUBRO LTD.","LT","70"
"L&T FINANCE LIMITED","LTF","65"
"LT FOODS LIMITED","LTFOODS","60"
"LTIMINDTREE LIMITED","LTIM","65"
"L&T TECHNOLOGY SER. LTD.","LTTS","65"
"LUMAX INDUSTRIES LTD","LUMAXIND","60"
"LUMAX AUTO TECH LTD","LUMAXTECH","0"
"LUPIN LIMITED","LUPIN","70"
"LUX INDUSTRIES LIMITED","LUXIND","55"
"LAXMI ORGANIC INDUS LTD","LXCHEM","60"
"MAHINDRA & MAHINDRA LTD","M&M","65"
"M&M FIN. SERVICES LTD","M&MFIN","65"
"MIRAEAMC - MAFANG","MAFANG","65"
"MAGADH SUGAR & ENERGY LTD","MAGADSUGAR","50"
"BANK OF MAHARASHTRA","MAHABANK","60"
"MAHINDRA LIFESPACE DEVLTD","MAHLIFE","60"
"MAHINDRA LOGISTIC LIMITED","MAHLOG","55"
"MAHARASHTRA SCOOTERS LTD","MAHSCOOTER","40"
"MAHARASHTRA SEAMLESS LTD","MAHSEAMLES","60"
"MAITHAN ALLOYS LTD","MAITHANALL","55"
"MAMATA MACHINERY LIMITED","MAMATA","50"
"MANAPPURAM FINANCE LTD","MANAPPURAM","60"
"MANGALAM CEMENT LTD","MANGLMCEM","55"
"MAN INDUSTRIES (I) LTD.","MANINDS","50"
"MAN INFRA LTD","MANINFRA","60"
"MANKIND PHARMA LIMITED","MANKIND","65"
"MANORAMA INDUSTRIES LTD","MANORAMA","40"
"VEDANT FASHIONS LIMITED","MANYAVAR","65"
"C.E. INFO SYSTEMS LIMITED","MAPMYINDIA","60"
"MARATHON NXTGEN REALT LTD","MARATHON","50"
"MARICO LIMITED","MARICO","70"
"MARKSANS PHARMA LIMITED","MARKSANS","60"
"MARUTI SUZUKI INDIA LTD.","MARUTI","70"
"MAS FINANCIAL SERV LTD","MASFIN","60"
"MASTEK LTD","MASTEK","60"
"MATRIMONY.COM LIMITED","MATRIMONY","55"
"MAX ESTATES LIMITED","MAXESTATES","60"
"MAX HEALTHCARE INS LTD","MAXHEALTH","60"
"MAYUR UNIQUOTERS LTD","MAYURUNIQ","45"
"MAZAGON DOCK SHIPBUIL LTD","MAZDOCK","50"
"MAGELLANIC CLOUD LIMITED","MCLOUD","50"
"MULTI COMMODITY EXCHANGE","MCX","55"
"GLOBAL HEALTH LIMITED","MEDANTA","65"
"MEDI ASSIST HEALTH SER L","MEDIASSIST","65"
"MEDPLUS HEALTH SERV LTD","MEDPLUS","60"
"ICICIPRAMC - METALIETF","METALIETF","60"
"METRO BRANDS LIMITED","METROBRAND","55"
"METROPOLIS HEALTHCARE LTD","METROPOLIS","65"
"MAX FINANCIAL SERV LTD","MFSL","65"
"MAHANAGAR GAS LTD.","MGL","65"
"MAHINDRA HOLIDAYS LTD","MHRIL","60"
"ZERODHAAMC - MID150CASE","MID150CASE","70"
"MIRAEAMC - MAM150ETF","MIDCAPETF","80"
"ICICIPRAMC - ICICIM150","MIDCAPIETF","70"
"MISHRA DHATU NIGAM LTD","MIDHANI","50"
"MINDA CORPORATION LTD","MINDACORP","60"
"MMTC LIMITED","MMTC","0"
"ONE MOBIKWIK SYSTEMS LTD","MOBIKWIK","50"
"MOIL LIMITED","MOIL","55"
"MEGHMANI ORGANICS LIMITED","MOL","60"
"MOLD-TEK PACKAGING LTD","MOLDTKPAC","50"
"MOTILAL OS MIDCAP100 ETF","MOM100","55"
"ICICIPRAMC - ICICIMOM30","MOM30IETF","60"
"MOTILAL OS NASDAQ100 ETF","MON100","70"
"MONARCH NETWORTH CAP LTD","MONARCH","50"
"MOTILALAMC - MONQ50","MONQ50","70"
"MOREPEN LAB. LTD","MOREPENLAB","50"
"MOSCHIP TECHNOLOGIES LTD","MOSCHIP","0"
"SAMVRDHNA MTHRSN INTL LTD","MOTHERSON","65"
"MOTILAL OSWAL FIN LTD","MOTILALOFS","50"
"MPHASIS LIMITED","MPHASIS","65"
"MPS LIMITED","MPSLTD","50"
"MRF LTD","MRF","70"
"MRPL","MRPL","50"
"MSTC LIMITED","MSTCLTD","55"
"MOTHERSON SUMI WRNG IND L","MSUMI","70"
"MTAR TECHNOLOGIES LIMITED","MTARTECH","60"
"MAHANAGAR TELEPHONE NIGAM","MTNL","50"
"MUTHOOT FINANCE LIMITED","MUTHOOTFIN","65"
"MUTHOOT MICROFIN LIMITED","MUTHOOTMF","60"
"NIPPON L I A M LTD","NAM-INDIA","60"
"NATCO PHARMA LTD.","NATCOPHARM","55"
"NATIONAL ALUMINIUM CO LTD","NATIONALUM","60"
"INFO EDGE (I) LTD","NAUKRI","65"
"NAVA LIMITED","NAVA","60"
"NAVIN FLUORINE INT. LTD","NAVINFLUOR","65"
"NAVNEET EDUCATION LTD","NAVNETEDUL","55"
"NAZARA TECHNOLOGIES LTD","NAZARA","60"
"NBCC (INDIA) LIMITED","NBCC","50"
"NCC LIMITED","NCC","60"
"NCL INDUSTRIES LIMITED","NCLIND","50"
"NELCO LTD","NELCO","55"
"NEOGEN CHEMICALS LIMITED","NEOGEN","55"
"NESCO LTD.","NESCO","60"
"NESTLE INDIA LIMITED","NESTLEIND","70"
"NETWEB TECH INDIA LTD","NETWEB","0"
"NETWORK18 MEDIA & INV LTD","NETWORK18","55"
"NEULAND LAB LTD.","NEULANDLAB","50"
"NEWGEN SOFTWARE TECH LTD","NEWGEN","50"
"ICICIPRAMC - ICICINXT50","NEXT50IETF","70"
"NATIONAL FERT. LTD","NFL","55"
"NARAYANA HRUDAYALAYA LTD.","NH","65"
"NHPC LTD","NHPC","60"
"THE NEW INDIA ASSU CO LTD","NIACL","55"
"NIP IND ETF NIFTY 100","NIF100BEES","70"
"KOTAK NIFTY ETF","NIFTY1","75"
"DSPAMC - DSPN50ETF","NIFTY50ADD","70"
"NIP IND ETF NIFTY BEES","NIFTYBEES","75"
"MIRAEAMC - MAN50ETF","NIFTYETF","80"
"ICICI PRUD NIFTY ETF","NIFTYIETF","75"
"NIIT LIMITED","NIITLTD","55"
"NIIT LEARNING SYSTEMS LTD","NIITMTS","60"
"NILKAMAL LIMITED","NILKAMAL","50"
"NIVA BUPA HEALTH INS CO L","NIVABUPA","60"
"NLC INDIA LIMITED","NLCINDIA","55"
"NMDC LTD.","NMDC","65"
"NOCIL LIMITED","NOCIL","60"
"NORTHERN ARC CAPITAL LTD","NORTHARC","65"
"NETWORK PEOPLE SRV TECH L","NPST","50"
"NRB BEARING LIMITED","NRBBEARING","55"
"NMDC STEEL LIMITED","NSLNISP","60"
"NTPC LTD","NTPC","70"
"NTPC GREEN ENERGY LIMITED","NTPCGREEN","65"
"NUCLEUS SOFTWARE EXPORTS","NUCLEUS","40"
"NUVAMA WEALTH MANAGE LTD","NUVAMA","50"
"NUVOCO VISTAS CORP LTD","NUVOCO","65"
"FSN E COMMERCE VENTURES","NYKAA","65"
"ORIENTAL AROMATICS LTD","OAL","50"
"OBEROI REALTY LIMITED","OBEROIRLTY","65"
"ORACLE FIN SERV SOFT LTD.","OFSS","60"
"OIL INDIA LTD","OIL","55"
"ICICIPRAMC - OILIETF","OILIETF","70"
"OLECTRA GREENTECH LIMITED","OLECTRA","55"
"ONESOURCE SPECL PHARMA L","ONESOURCE","50"
"OIL AND NATURAL GAS CORP.","ONGC","65"
"OPTIEMUS INFRACOM LTD","OPTIEMUS","40"
"ORIENT CEMENT LTD.","ORIENTCEM","60"
"ORIENT ELECTRIC LIMITED","ORIENTELEC","60"
"ORIENT HOTELS LTD","ORIENTHOT","55"
"ORIENT PAPER AND INDS LTD","ORIENTPPR","50"
"ORISSA MIN DEV CO LTD","ORISSAMINE","60"
"PAGE INDUSTRIES LTD","PAGEIND","70"
"PAISALO DIGITAL LIMITED","PAISALO","50"
"PANAMA PETROCHEM LTD","PANAMAPET","55"
"PARAMOUNT COMM LTD","PARACABLES","50"
"PARADEEP PHOSPHATES LTD","PARADEEP","50"
"PARAG MILK FOODS LTD.","PARAGMILK","60"
"PARKHOTELS","PARKHOTELS","55"
"PATANJALI FOODS LIMITED","PATANJALI","65"
"PATEL ENGINEERING LTD.","PATELENG","60"
"ONE 97 COMMUNICATIONS LTD","PAYTM","50"
"PCBL CHEMICAL LIMITED","PCBL","55"
"PDS LIMITED","PDSL","55"
"PENNAR INDUSTRIES LTD","PENIND","50"
"PERSISTENT SYSTEMS LTD","PERSISTENT","65"
"PETRONET LNG LIMITED","PETRONET","65"
"POWER FIN CORP LTD.","PFC","60"
"PFIZER LTD","PFIZER","60"
"PRIME FOCUS LIMITED","PFOCUS","50"
"PG ELECTROPLAST LTD","PGEL","50"
"P&G HYGIENE & HEALTH CARE","PGHH","60"
"PROCTER & GAMBLE HEALTH L","PGHL","60"
"PEARL GLOBAL IND LIMITED","PGIL","50"
"THE PHOENIX MILLS LTD","PHOENIXLTD","60"
"PIDILITE INDUSTRIES LTD","PIDILITIND","70"
"PI INDUSTRIES LTD","PIIND","70"
"PITTI ENGINEERING LIMITED","PITTIENG","60"
"PUNJAB NATIONAL BANK","PNB","65"
"PNB HOUSING FIN LTD.","PNBHOUSING","60"
"PNC INFRATECH LTD.","PNCINFRA","60"
"P N GADGIL JEWELLERS LTD","PNGJL","60"
"PONDY OXIDES & CHEM LTD","POCL","50"
"POKARNA LIMITED","POKARNA","40"
"PB FINTECH LIMITED","POLICYBZR","60"
"POLYCAB INDIA LIMITED","POLYCAB","60"
"POLY MEDICURE LIMITED","POLYMED","60"
"POLYPLEX CORPORATION LTD","POLYPLEX","60"
"POONAWALLA FINCORP LTD","POONAWALLA","60"
"POWER GRID CORP. LTD.","POWERGRID","70"
"HITACHI ENERGY INDIA LTD","POWERINDIA","50"
"POWER MECH PROJECTS LTD.","POWERMECH","60"
"PIRAMAL PHARMA LIMITED","PPLPHARMA","60"
"PRAJ INDUSTRIES LTD","PRAJIND","60"
"PRAKASH INDUSTRIES LTD","PRAKASH","55"
"PREMIER EXPLOSIVES LTD","PREMEXPLN","50"
"PREMIER ENERGIES LIMITED","PREMIERENE","60"
"PRESTIGE ESTATE LTD","PRESTIGE","60"
"PRICOL LIMITED","PRICOLLTD","55"
"PRINCE PIPES FITTINGS LTD","PRINCEPIPE","60"
"PRIVI SPECIALITY CHE LTD","PRIVISCL","60"
"PROTEAN EGOV TECHNO LTD","PROTEAN","50"
"PRISM JOHNSON LIMITED","PRSMJOHNSN","55"
"PRUDENT CORP ADV SER LTD","PRUDENT","40"
"PUNJAB & SIND BANK","PSB","40"
"PSP PROJECTS LIMITED","PSPPROJECT","55"
"KOTAK PSU BANK","PSUBANK","65"
"NIP IND ETF PSU BANK BEES","PSUBNKBEES","65"
"PTC INDIA LIMITED","PTC","65"
"PTC INDUSTRIES LIMITED","PTCIL","60"
"PURAVANKARA LIMITED","PURVA","40"
"PVR INOX LIMITED","PVRINOX","65"
"ICICIPRAMC - ICICIBANKP","PVTBANIETF","60"
"QUESS CORP LIMITED","QUESS","40"
"RADICO KHAITAN LTD","RADICO","65"
"RAILTEL CORP OF IND LTD","RAILTEL","55"
"RAIN INDUSTRIES LIMITED","RAIN","60"
"RAINBOW CHILDRENS MED LTD","RAINBOW","65"
"RAJESH EXPORTS LTD","RAJESHEXPO","55"
"RALLIS INDIA LTD","RALLIS","60"
"THE RAMCO CEMENTS LIMITED","RAMCOCEM","70"
"RAMCO INDUSTRIES LIMITED","RAMCOIND","55"
"RAMKY INFRA LTD","RAMKY","50"
"RAM RATNA WIRES LIMITED","RAMRAT","40"
"RANA SUGARS LTD.","RANASUG","50"
"RATEGAIN TRAVEL TECHN LTD","RATEGAIN","60"
"RATNAMANI MET & TUB LTD.","RATNAMANI","60"
"RAYMOND LTD","RAYMOND","50"
"RAYMOND LIFESTYLE LIMITED","RAYMONDLSL","50"
"RESTAURANT BRAND ASIA LTD","RBA","60"
"RBL BANK LIMITED","RBLBANK","60"
"RASHTRIYA CHEMICALS & FER","RCF","55"
"REC LIMITED","RECLTD","60"
"REDINGTON LIMITED","REDINGTON","60"
"REDTAPE LIMITED","REDTAPE","60"
"REFEX INDUSTRIES LIMITED","REFEX","50"
"RELAXO FOOT LTD.","RELAXO","65"
"RELIANCE INDUSTRIES LTD","RELIANCE","70"
"RELIGARE ENTER. LTD.","RELIGARE","60"
"SHREE RENUKA SUGARS LTD","RENUKA","60"
"REPCO HOME FINANCE LTD","REPCOHOME","60"
"RESPONSIVE INDUSTRIES LTD","RESPONIND","50"
"RHI MAGNESITA INDIA LTD","RHIM","60"
"RICO AUTO INDUSTRIES LTD","RICOAUTO","50"
"RELIANCE INDUSTRIAL INFRA","RIIL","55"
"RITES LIMITED","RITES","50"
"RAMKRISHNA FORGINGS LTD","RKFORGE","60"
"RANE (MADRAS) LIMITED","RML","50"
"ROLEX RINGS LIMITED","ROLEXRINGS","55"
"ROSSARI BIOTECH LIMITED","ROSSARI","60"
"ROUTE MOBILE LIMITED","ROUTE","60"
"RPG LIFE SCIENCES LTD","RPGLIFE","60"
"RPSG VENTURES LIMITED","RPSGVENT","50"
"R R KABEL LIMITED","RRKABEL","55"
"RSWM LIMITED","RSWM","55"
"R SYS INTERNATIONAL LTD","RSYSTEMS","55"
"RATTANINDIA ENT LIMITED","RTNINDIA","50"
"RATTANINDIA POWER LIMITED","RTNPOWER","55"
"RAIL VIKAS NIGAM LIMITED","RVNL","50"
"SAFARI IND (INDIA) LTD","SAFARI","65"
"SAGAR CEMENTS LIMITED","SAGCEM","40"
"SAGILITY LIMITED","SAGILITY","60"
"STEEL AUTHORITY OF INDIA","SAIL","60"
"SAI LIFE SCIENCES LIMITED","SAILIFE","60"
"SAKSOFT LIMITED","SAKSOFT","50"
"SALASAR TECHNO ENGG. LTD.","SALASAR","50"
"SAMHI HOTELS LIMITED","SAMHI","65"
"SAMMAAN CAPITAL LIMITED","SAMMAANCAP","35"
"SANATHAN TEXTILES LIMITED","SANATHAN","60"
"SANDUR MANG & IRON ORES L","SANDUMA","60"
"SANGHVI MOVERS LTD","SANGHVIMOV","50"
"SANOFI INDIA LIMITED","SANOFI","60"
"SANOFI CONS HEALTHC IND L","SANOFICONR","60"
"SANSERA ENGINEERING LTD","SANSERA","60"
"SAPPHIRE FOODS INDIA LTD","SAPPHIRE","60"
"SARDA ENERGY & MIN LTD","SARDAEN","50"
"SAREGAMA INDIA LIMITED","SAREGAMA","60"
"SASKEN TECHNOLOGIES LTD","SASKEN","55"
"SATIA INDUSTRIES LIMITED","SATIA","55"
"SHIVALIK BIMETAL CON. LTD","SBCL","55"
"SBFC FINANCE LIMITED","SBFC","65"
"SBI CARDS & PAY SER LTD","SBICARD","70"
"SBI LIFE INSURANCE CO LTD","SBILIFE","70"
"STATE BANK OF INDIA","SBIN","70"
"SCHAEFFLER INDIA LIMITED","SCHAEFFLER","65"
"SHIPPING CORP OF INDIA LT","SCI","55"
"SOM DIST & BREW LTD","SDBL","60"
"SEAMEC LIMITED","SEAMECLTD","50"
"SENORES PHARMACEUTICALS L","SENORES","50"
"ICICI PRUD SENSEX ETF","SENSEXIETF","70"
"SEQUENT SCIENTIFIC LTD.","SEQUENT","50"
"SESHASAYEE PAPER & BOARDS","SESHAPAPER","50"
"SBI-ETF GOLD","SETFGOLD","0"
"SBI-ETF NIFTY 50","SETFNIF50","75"
"SBI-ETF NIFTY BANK","SETFNIFBK","70"
"SHEELA FOAM LIMITED","SFL","60"
"SHAILY ENG PLASTICS LTD","SHAILY","50"
"SHAKTI PUMPS (I) LTD","SHAKTIPUMP","50"
"SHALBY LIMITED","SHALBY","60"
"SHALIM PAINTS LTD","SHALPAINTS","50"
"SHANTHI GEARS LTD","SHANTIGEAR","55"
"SHARDA CROPCHEM LTD.","SHARDACROP","0"
"SHARDA MOTOR INDS LTD","SHARDAMOTR","50"
"SHARE IND. SECURITIES LTD","SHAREINDIA","55"
"S H KELKAR AND CO. LTD.","SHK","55"
"SHOPPERS STOP LIMITED","SHOPERSTOP","60"
"SHREE DIGVIJAY CEM CO LTD","SHREDIGCEM","50"
"SHREE CEMENT LIMITED","SHREECEM","70"
"SHRE PUSH CHEM & FERT LTD","SHREEPUSHK","40"
"SHRIRAM PIST. & RING LTD","SHRIPISTON","50"
"SHRIRAM FINANCE LIMITED","SHRIRAMFIN","65"
"SHRIRAM PROPERTIES LTD","SHRIRAMPPS","50"
"SHYAM METALICS AND ENGY L","SHYAMMETL","60"
"SIEMENS LTD","SIEMENS","65"
"SIGACHI INDUSTRIES LTD","SIGACHI","55"
"SIGNATUREGLOBAL INDIA LTD","SIGNATURE","65"
"BIRLASLAMC - SILVER","SILVER","0"
"ICICIPRAMC - ICICISILVE","SILVERIETF","0"
"SINDHU TRADE LINKS LTD","SINDHUTRAD","40"
"SIRCA PAINT INDIA LIMITED","SIRCA","50"
"SIS LIMITED","SIS","55"
"SIYARAM SILK MILLS LTD","SIYSIL","35"
"SJS ENTERPRISES LIMITED","SJS","60"
"SJVN LTD","SJVN","55"
"SKF INDIA LTD","SKFINDIA","65"
"SKIPPER LIMITED","SKIPPER","50"
"MIRAEAMC - SMALLCAP","SMALLCAP","0"
"SMC GLOBAL SECURITIES LTD","SMCGLOBAL","50"
"SML ISUZU LIMITED","SMLISUZU","0"
"SOBHA LIMITED","SOBHA","60"
"SOLARA ACTIVE PHA SCI LTD","SOLARA","40"
"SOLAR INDUSTRIES (I) LTD","SOLARINDS","55"
"SOMANY CERAMICS LIMITED","SOMANYCERA","50"
"SONA BLW PRECISION FRGS L","SONACOMS","60"
"SONATA SOFTWARE LTD","SONATSOFTW","50"
"SAVITA OIL TECHNOLO. LTD","SOTL","60"
"THE SOUTH INDIAN BANK LTD","SOUTHBANK","65"
"SPANDANA SPHOORTY FIN LTD","SPANDANA","0"
"SUN PHARMA ADV.RES.CO.LTD","SPARC","50"
"SPIC LTD","SPIC","50"
"SUPREME PETROCHEM LIMITED","SPLPETRO","60"
"SRF LTD","SRF","70"
"SREE RAYALSEEMA HHP LTD.","SRHHYPOLTD","50"
"STEEL STRIPS WHEELS LTD.","SSWL","55"
"STRIDES PHARMA SCI LTD","STAR","55"
"STAR CEMENT LIMITED","STARCEMENT","65"
"STAR HEALTH & AL INS CO L","STARHEALTH","65"
"STERLITE TECHNOLOGIES LTD","STLTECH","0"
"STOVE KRAFT LIMITED","STOVEKRAFT","55"
"STYLAM INDUSTRIES LIMITED","STYLAMIND","55"
"STYRENIX PERFORMANCE LTD","STYRENIX","60"
"SUBROS LIMITED","SUBROS","0"
"SUDARSHAN CHEMICAL INDS L","SUDARSCHEM","60"
"SULA VINEYARDS LIMITED","SULA","60"
"SUMITOMO CHEM INDIA LTD","SUMICHEM","65"
"SUNDARAM CLAYTON LIMITED","SUNCLAY","50"
"SUNDARAM FINANCE LTD","SUNDARMFIN","65"
"SUNDRAM FASTENERS LTD","SUNDRMFAST","65"
"SUNDROP BRANDS LIMITED","SUNDROP","50"
"SUNFLAG IRON AND STEEL CO","SUNFLAG","60"
"SUN PHARMACEUTICAL IND L","SUNPHARMA","70"
"SUNTECK REALTY LIMITED","SUNTECK","60"
"SUN TV NETWORK LIMITED","SUNTV","65"
"SUPRAJIT ENGINEERING LTD","SUPRAJIT","50"
"SUPREME INDUSTRIES LTD","SUPREMEIND","60"
"SUPRIYA LIFESCIENCE LTD","SUPRIYA","45"
"SURYA ROSHNI LTD","SURYAROSNI","60"
"SURYODAY SMALL FIN BK LTD","SURYODAY","55"
"SUZLON ENERGY LIMITED","SUZLON","50"
"SWAN CORP LIMITED","SWANCORP","50"
"SWARAJ ENGINES LTD","SWARAJENG","60"
"SWIGGY LIMITED","SWIGGY","60"
"STRLNG & WIL REN ENE LTD","SWSOLAR","60"
"SYMPHONY LIMITED","SYMPHONY","60"
"SYNGENE INTERNATIONAL LTD","SYNGENE","70"
"SYRMA SGS TECHNOLOGY LTD","SYRMA","60"
"TAJ GVK HOTELS & RESORTS","TAJGVK","50"
"TANLA PLATFORMS LIMITED","TANLA","60"
"TARC LIMITED","TARC","40"
"TRANS & RECTI. LTD","TARIL","50"
"TARSONS PRODUCTS LIMITED","TARSONS","55"
"TASTY BITE EATABLES LTD","TASTYBITE","50"
"TATA CHEMICALS LTD","TATACHEM","65"
"TATA COMMUNICATIONS LTD","TATACOMM","70"
"TATA CONSUMER PRODUCT LTD","TATACONSUM","70"
"TATA ELXSI LIMITED","TATAELXSI","65"
"TATA INVESTMENT CORP LTD","TATAINVEST","45"
"TATA MOTORS LIMITED","TATAMOTORS","65"
"TATA POWER CO LTD","TATAPOWER","65"
"TATA STEEL LIMITED","TATASTEEL","65"
"TATA TECHNOLOGIES LIMITED","TATATECH","70"
"TATVA CHIN PHARM CHEM LTD","TATVA","50"
"TBO TEK LIMITED","TBOTEK","65"
"TRANSPORT CORPN OF INDIA","TCI","55"
"TCI EXPRESS LIMITED","TCIEXP","55"
"TATA CONSULTANCY SERV LT","TCS","70"
"TD POWER SYSTEMS LTD.","TDPOWERSYS","50"
"TEAMLEASE SERVICES LTD.","TEAMLEASE","60"
"TECH MAHINDRA LIMITED","TECHM","70"
"TECHNO ELEC & ENG CO. LTD","TECHNOE","55"
"TEGA INDUSTRIES LIMITED","TEGA","65"
"TEJAS NETWORKS LIMITED","TEJASNET","50"
"TEXMACO RAIL & ENG. LTD.","TEXRAIL","55"
"TOURISM FINANCE CORP. OF","TFCILTD","25"
"THANGAMAYIL JEWELLERY LTD","THANGAMAYL","60"
"THERMAX LTD","THERMAX","60"
"THOMAS COOK (INDIA) LTD","THOMASCOOK","50"
"TILAKNAGAR INDUSTRIES LTD","TI","40"
"TECHNOCRAFT IND LTD","TIIL","55"
"TUBE INVEST OF INDIA LTD","TIINDIA","60"
